행정동,1218_유동인구,1218_거주인구,1218_유동인구/거주인구,2103_유동인구,2103_거주인구,2103_유동인구/거주인구,카메라대수,면적대비_CCTV,보정_범죄자수,보정_면적대비범죄자수,유흥매출액,유흥+일반매출액,여성1인가구수
중앙동,2410229.1333333333,5033,478.8851844493013,575172.6,5033,114.28027,42,33.07086614173228,1.0,0.7874015748031495,815118963.0,53751417511,490
효동,1387323.1333333333,26167,53.018043082253726,447480.467,26167,17.1009465,210,87.1369294605809,0.1,0.04149377593360996,1979914031.0,57881696036,936
신인동,1152292.8666666667,12549,91.82348128668951,453473.133,12549,36.1361968,42,50.0,1.0,1.1904761904761905,3350896.0,2839351265,528
판암1동,1012309.8,12807,79.04347622394003,313242.867,12807,24.4587231,61,11.359404096834266,1.0,0.186219739292365,87084825.0,13905259332,640
판암2동,277661.93333333335,8877,31.27880289887725,95004.6,8877,10.7023319,30,39.473684210526315,3.0,3.9473684210526314,90939646.0,1449230531,1313
용운동,1062037.4,16863,62.98033564608907,466632.933,16863,27.6719998,95,27.37752161383285,3.0,0.8645533141210374,111515064.0,17622270036,2302
대동,741375.6,15478,47.898669078692336,318290.333,15478,20.5640479,46,62.16216216216216,0.1,0.13513513513513514,42273009.0,9155497597,615
자양동,806077.9333333335,10603,76.02357194504701,389575.667,10603,36.7420227,78,67.82608695652175,1.0,0.8695652173913044,265792234.0,32936262604,2471
가양1동,1071967.7333333334,14097,76.04225958241707,384745.733,14097,27.2927384,69,66.99029126213593,0.1,0.0970873786407767,261334476.0,30551587346,1027
가양2동,1184586.1333333333,18989,62.38275492829182,478168.467,18989,25.1813401,62,37.57575757575758,2.0,1.2121212121212122,593010625.0,26789677902,1578
용전동,2420121.0000000005,20867,115.97838692672643,966149.6,20867,46.3003594,51,42.5,0.1,0.08333333333333334,1986638259.0,39164392285,1620
성남동,973825.9333333333,12599,77.29390692382994,361401.467,12599,28.6849327,28,32.55813953488372,0.1,0.11627906976744187,319585271.0,24983628392,702
홍도동,608899.4,11206,54.336908798857756,323499.333,11206,28.8684038,49,77.77777777777777,2.0,3.1746031746031744,221942093.0,15376149398,832
삼성동,1166344.8666666667,14872,78.425555854402,383377.933,14872,25.7785055,55,41.984732824427475,2.0,1.5267175572519083,10386549.0,10048675816,732
대청동,333754.9333333333,2567,130.01750422023113,18852.8,2567,7.34429295,77,1.2118350645262828,0.1,0.0015738117721120555,182190.2,455854806,125
산내동,929431.6666666667,21520,43.18920384138786,198381.133,21520,9.21845415,107,2.1238586740770145,1.0,0.01984914648670107,182190.2,12891505671,643
은행선화동,3170485.2666666666,17060,185.8432161000391,910179.333,17060,53.3516608,100,68.49315068493149,7.0,4.794520547945206,1489475013.0,60692674402,1544
목동,964531.8,14921,64.64257087326587,462559.067,14921,31.0005406,39,55.714285714285715,0.1,0.14285714285714288,182190.2,4640747852,501
중촌동,1220269.4,13751,88.74041160642862,490455.0,13751,35.6668606,74,61.66666666666667,0.1,0.08333333333333334,384731458.0,20683629710,1003
대흥동,2274246.0,14151,160.7127411490354,761197.2,14151,53.7910536,92,76.66666666666667,3.0,2.5,5434867550.0,156136553266,1043
문창동,391056.93333333335,4779,81.82819278789147,142181.333,4779,29.7512729,29,63.04347826086956,1.0,2.1739130434782608,9248173.0,11664192367,380
석교동,888891.0666666667,16060,55.34813615608136,262882.2,16060,16.3687547,103,23.842592592592588,3.0,0.6944444444444444,6427954.0,3025024932,832
대사동,992119.6000000001,5532,179.3419378163413,300407.133,5532,54.303531,49,24.257425742574252,1.0,0.49504950495049505,1821902.0,8974463134,563
부사동,503976.3333333334,6905,72.98715906348058,134236.333,6905,19.4404538,61,53.50877192982457,0.1,0.08771929824561404,1746430186.0,14107425686,438
용두동,1348512.4000000001,10022,134.55521851925764,619142.867,10022,61.7783742,41,50.0,1.0,1.2195121951219512,182190.2,7263774452,793
오류동,1783595.9333333333,10558,168.93312496053545,663133.067,10558,62.8085875,26,39.39393939393939,0.1,0.15151515151515152,3065935521.0,64542799118,552
태평1동,826022.3333333333,13852,59.6319905669458,402173.667,13852,29.0336173,35,50.0,0.1,0.14285714285714288,1448915776.0,21904701588,419
태평2동,2692757.1333333333,26811,100.4347892034364,1902552.53,26811,70.9616401,57,57.0,0.1,0.1,1514221881.0,21460591370,810
유천1동,838197.1333333334,6758,124.03035414817008,519206.733,6758,76.8284601,49,81.66666666666667,2.0,3.3333333333333335,3459088265.0,17782401070,419
유천2동,908484.4,13933,65.20378956434365,429889.533,13933,30.8540539,48,68.57142857142857,1.0,1.4285714285714286,332031494.0,32688030327,678
문화1동,2735302.533333333,23041,118.71457546692127,973195.867,23041,42.2375707,63,29.032258064516128,1.0,0.4608294930875576,201111707.0,26435025730,796
문화2동,580746.7333333333,13081,44.39620314450985,261971.867,13081,20.0268991,53,36.55172413793104,1.0,0.6896551724137931,2039109.0,11491093158,853
산성동,2461865.333333333,28146,87.4676804282432,1261536.27,28146,44.8211564,133,3.2025042138213338,3.0,0.07223693715386467,553991261.0,28961700041,1245
복수동,2034296.2,22810,89.18440157825515,1284457.87,22810,56.3111735,48,26.966292134831463,0.1,0.05617977528089888,1048365955.0,29102921781,1106
도마1동,1804643.1333333333,15172,118.94563230512347,969365.0,15172,63.8917084,72,44.171779141104295,2.0,1.2269938650306749,288257402.0,27376497003,1673
도마2동,1510460.0666666667,18524,81.54070755056503,528237.267,18524,28.5163716,59,33.333333333333336,1.0,0.5649717514124294,239207934.0,28259733107,1504
정림동,949937.0666666668,16870,56.30925113613911,359519.133,16870,21.3111519,64,10.596026490066226,2.0,0.33112582781456956,630113281.0,18908406156,602
변동,1233421.6666666665,16529,74.62167503579566,671111.067,16529,40.6020368,60,40.54054054054054,0.1,0.06756756756756757,136478213.0,13391086771,905
용문동,2066170.6666666665,12857,160.70394856239142,1144520.07,12857,89.0192165,47,47.95918367346939,2.0,2.0408163265306123,2155030235.0,40603286956,1566
탄방동,4421357.6,25889,170.7813202518444,1736094.4,25889,67.0591525,60,36.36363636363637,1.0,0.6060606060606061,5421049102.0,165016646170,2669
괴정동,1833579.4000000001,19178,95.60847846490772,987478.6,19178,51.4901762,57,45.23809523809525,1.0,0.7936507936507936,1768378574.0,49360643618,1905
가장동,1020226.8666666667,12561,81.2217870127113,575900.4,12561,45.8482923,33,57.894736842105274,2.0,3.5087719298245617,1631940103.0,27357426711,551
내동,1093780.9333333333,24249,45.10622843553686,454335.867,24249,18.7362723,47,47.47474747474747,0.1,0.10101010101010102,40118943.0,15153231052,810
갈마1동,1731653.7999999998,21972,78.81184234480247,897189.867,21972,40.8333273,70,46.66666666666666,0.1,0.06666666666666667,1715698092.0,51150577233,1658
갈마2동,1466628.8,25254,58.07510889364061,824675.933,25254,32.6552599,46,63.01369863013698,3.0,4.109589041095891,2511346217.0,55817705925,2296
월평1동,1171148.2,11144,105.0922648959081,462620.0,11144,41.5129218,52,18.571428571428573,1.0,0.35714285714285715,3819638193.0,47109306659,1306
월평2동,1034306.0,15380,67.25006501950585,369708.133,15380,24.0382401,3,4.545454545454545,1.0,1.5151515151515151,506849214.0,12586552241,1417
월평3동,725269.6,22317,32.49852578751624,283440.733,22317,12.7006647,28,31.11111111111111,0.1,0.11111111111111112,182190.2,273710927,418
가수원동,2152727.933333333,41348,52.06365321982522,663212.0,41348,16.0397601,95,9.405940594059404,1.0,0.09900990099009901,1353985468.0,78368310566,1140
관저1동,1387036.5999999999,15866,87.42194630026471,628158.6,15866,39.5914912,20,19.801980198019802,0.1,0.09900990099009901,633331924.0,32849758394,723
관저2동,2878551.6666666665,51212,56.20853836340441,1185542.93,51212,23.1497097,64,14.035087719298248,1.0,0.2192982456140351,3747679840.0,96855592844,1187
기성동,97775.93333333332,3845,25.429371478110095,5092.53333,3845,1.324456,44,0.8950366151342556,0.1,0.0020341741253051262,182190.2,528259718,218
둔산1동,2901465.533333333,17259,168.11318925391583,954349.2,17259,55.2957414,16,14.953271028037387,0.1,0.09345794392523364,2835767326.0,80829819081,430
둔산2동,6940638.466666667,37168,186.73693679150523,2532627.73,37168,68.1400057,26,10.833333333333336,1.0,0.4166666666666667,6185197836.0,276093780269,1495
만년동,1463951.4666666668,13357,109.60181677522398,430995.733,13357,32.2674054,24,14.035087719298248,0.1,0.058479532163742694,369665341.0,72117380325,681
둔산3동,1401355.4,20543,68.2157133816872,591222.467,20543,28.779753,25,33.333333333333336,1.0,1.3333333333333333,330723645.0,7889618925,932
진잠동,2558894.1333333333,35462,72.15876525106687,662546.333,35462,18.683276,148,3.1543052003410064,4.0,0.08525149190110827,504944184.0,42701797334,1409
온천1동,6293679.4,34114,184.48963475405992,2459150.87,34114,72.0862657,201,15.581395348837207,10.0,0.7751937984496123,21321548799.0,352724203444,3073
온천2동,6381447.133333333,40087,159.18994021336925,2322480.0,40087,57.9359892,135,14.966740576496676,5.0,0.5543237250554324,2177969106.0,189237793238,3468
노은1동,1873089.6,22304,83.97998565279771,477785.267,22304,21.4215059,51,5.543478260869565,1.0,0.10869565217391305,1453897292.0,85850556036,901
노은2동,1677268.5999999999,25127,66.75164564014804,437752.533,25127,17.4215996,79,6.734867860187554,1.0,0.08525149190110827,53309481.0,18076648171,784
노은3동,1104251.2666666666,36635,30.141975342341112,339296.067,36635,9.26152768,37,4.862023653088042,1.0,0.1314060446780552,589698564.0,67756747591,1009
신성동,3319655.0,25516,130.10091707164133,888398.067,25516,34.8172937,70,2.2479126525369297,0.1,0.0032113037893384717,1225557074.0,91681894483,895
전민동,2308258.466666667,27377,84.31378407665802,650611.8,27377,23.7649048,42,4.656319290465632,1.0,0.11086474501108648,1889663864.0,44813139301,807
구즉동,1530903.6,28249,54.1931962193352,862141.267,28249,30.5193553,61,2.2181818181818183,2.0,0.07272727272727272,2467234133.0,35439339131,1089
관평동,2559229.5999999996,29033,88.14898908139013,1072954.0,29033,36.95636,56,7.777777777777778,0.1,0.01388888888888889,3869342713.0,117004488824,629
원신흥동,2533971.866666667,46535,54.453032484509876,1023972.6,46535,22.0043537,42,10.169491525423727,1.0,0.24213075060532688,182190.2,54990506663,1722
오정동,3613588.6,15058,239.97799176517466,1296809.0,15058,86.1209324,120,38.96103896103896,2.0,0.6493506493506493,937023432.0,60431879424,1918
대화동,859777.1333333333,7483,114.89738518419529,247733.333,7483,33.1061517,43,13.650793650793652,1.0,0.31746031746031744,10825783.0,5001388610,492
회덕동,1952539.066666667,13787,141.62174995768962,424891.067,13787,30.8182394,78,4.645622394282312,2.0,0.11911852293031568,182190.2,10718563800,716
비래동,1035052.4000000001,16967,61.00385454116816,381051.933,16967,22.4584154,64,19.104477611940297,1.0,0.29850746268656714,275830929.0,11011472553,683
송촌동,1414668.6,28513,49.61486339564409,590183.6,28513,20.698755,104,54.16666666666667,0.1,0.052083333333333336,1656446658.0,53467364366,729
중리동,1549303.0,20031,77.34526483949878,621846.333,20031,31.0441982,179,120.13422818791945,3.0,2.0134228187919465,2995885912.0,58010370084,1376
신탄진동,782792.4,11296,69.2981940509915,215261.0,11296,19.0563916,99,4.3118466898954715,0.1,0.004355400696864111,4258148837.0,36740055809,612
석봉동,1479701.066666667,14441,102.46527710454033,639674.333,14441,44.295709,51,41.80327868852459,0.1,0.0819672131147541,485991433.0,11092017544,372
덕암동,1329245.4,14007,94.89865067466266,318152.667,14007,22.7138336,81,13.02250803858521,1.0,0.1607717041800643,420854809.0,30424713246,609
목상동,532337.6,6904,77.10567786790266,154313.467,6904,22.3513132,44,7.84313725490196,1.0,0.17825311942959002,272062386.0,13000500851,282
법1동,463998.4666666667,9938,46.68932045347823,184397.8,9938,18.5548199,20,25.64102564102564,1.0,1.282051282051282,182190.2,1470038586,1017
법2동,691231.6666666667,17027,40.59620994107399,242455.333,17027,14.2394628,33,17.64705882352941,1.0,0.53475935828877,1852267160.0,31208655626,937
