,fullname,dong,criminal,면적(km^2),면적대비범죄자수
0,대전광역시 동구 효동,효동,,2.41,0
1,대전광역시 동구 판암1동,판암1동,1,5.37,0.186219739
2,대전광역시 동구 판암2동,판암2동,3,0.76,3.947368421
3,대전광역시 동구 용운동,용운동,3,3.47,0.864553314
4,대전광역시 동구 자양동,자양동,1,1.15,0.869565217
5,대전광역시 동구 가양1동,가양1동,,1.03,0
6,대전광역시 동구 가양2동,가양2동,2,1.65,1.212121212
7,대전광역시 동구 용전동,용전동,,1.2,0
8,대전광역시 동구 홍도동,홍도동,2,0.63,3.174603175
9,대전광역시 동구 대청동,대청동,,63.54,0
10,대전광역시 동구 산내동,산내동,1,50.38,0.019849146
11,대전광역시 동구 중앙동,중앙동,1,1.27,0.787401575
12,대전광역시 동구 신인동,신인동,1,0.84,1.19047619
13,대전광역시 동구 대동,대동,,0.74,0
14,대전광역시 동구 성남동,성남동,,0.86,0
15,대전광역시 동구 삼성동,삼성동,2,1.31,1.526717557
16,대전광역시 중구 은행선화동,은행선화동,7,1.46,4.794520548
17,대전광역시 중구 목동,목동,,0.7,0
18,대전광역시 중구 중촌동,중촌동,,1.2,0
19,대전광역시 중구 대흥동,대흥동,3,1.2,2.5
20,대전광역시 중구 문창동,문창동,1,0.46,2.173913043
21,대전광역시 중구 석교동,석교동,3,4.32,0.694444444
22,대전광역시 중구 대사동,대사동,1,2.02,0.495049505
23,대전광역시 중구 부사동,부사동,,1.14,0
24,대전광역시 중구 용두동,용두동,1,0.82,1.219512195
25,대전광역시 중구 오류동,오류동,,0.66,0
26,대전광역시 중구 태평1동,태평1동,,0.7,0
27,대전광역시 중구 태평2동,태평2동,,1,0
28,대전광역시 중구 유천1동,유천1동,2,0.6,3.333333333
29,대전광역시 중구 유천2동,유천2동,1,0.7,1.428571429
30,대전광역시 중구 문화1동,문화1동,1,2.17,0.460829493
31,대전광역시 중구 문화2동,문화2동,1,1.45,0.689655172
32,대전광역시 중구 산성동,산성동,3,41.53,0.072236937
33,대전광역시 서구 복수동,복수동,,1.78,0
34,대전광역시 서구 도마1동,도마1동,2,1.63,1.226993865
35,대전광역시 서구 도마2동,도마2동,1,1.77,0.564971751
36,대전광역시 서구 정림동,정림동,2,6.04,0.331125828
37,대전광역시 서구 변동,변동,,1.48,0
38,대전광역시 서구 용문동,용문동,2,0.98,2.040816327
39,대전광역시 서구 탄방동,탄방동,1,1.65,0.606060606
40,대전광역시 서구 둔산1동,둔산1동,,1.07,0
41,대전광역시 서구 둔산2동,둔산2동,1,2.4,0.416666667
42,대전광역시 서구 괴정동,괴정동,1,1.26,0.793650794
43,대전광역시 서구 가장동,가장동,2,0.57,3.50877193
44,대전광역시 서구 내동,내동,,0.99,0
45,대전광역시 서구 갈마1동,갈마1동,,1.5,0
46,대전광역시 서구 갈마2동,갈마2동,3,0.73,4.109589041
47,대전광역시 서구 월평1동,월평1동,1,2.8,0.357142857
48,대전광역시 서구 월평2동,월평2동,1,0.66,1.515151515
49,대전광역시 서구 월평3동,월평3동,,0.9,0
50,대전광역시 서구 만년동,만년동,,1.71,0
51,대전광역시 서구 가수원동,가수원동,1,10.1,0.099009901
52,대전광역시 서구 기성동,기성동,,49.16,0
53,대전광역시 서구 관저1동,관저1동,,1.01,0
54,대전광역시 서구 관저2동,관저2동,1,4.56,0.219298246
55,대전광역시 서구 둔산3동,둔산3동,1,0.75,1.333333333
56,대전광역시 유성구 진잠동,진잠동,4,46.92,0.085251492
57,대전광역시 유성구 온천2동,온천2동,5,9.02,0.554323725
58,대전광역시 유성구 신성동,신성동,,31.14,0
59,대전광역시 유성구 전민동,전민동,1,9.02,0.110864745
60,대전광역시 유성구 노은1동,노은1동,1,9.2,0.108695652
61,대전광역시 유성구 구즉동,구즉동,2,27.5,0.072727273
62,대전광역시 유성구 관평동,관평동,,7.2,0
63,대전광역시 유성구 온천1동,온천1동,10,12.9,0.775193798
64,대전광역시 유성구 원신흥동,원신흥동,1,4.13,0.242130751
65,대전광역시 유성구 노은2동,노은2동,1,11.73,0.085251492
66,대전광역시 유성구 노은3동,노은3동,1,7.61,0.131406045
67,대전광역시 대덕구 오정동,오정동,2,3.08,0.649350649
68,대전광역시 대덕구 대화동,대화동,1,3.15,0.317460317
69,대전광역시 대덕구 회덕동,회덕동,2,16.79,0.119118523
70,대전광역시 대덕구 비래동,비래동,1,3.35,0.298507463
71,대전광역시 대덕구 중리동,중리동,3,1.49,2.013422819
72,대전광역시 대덕구 법1동,법1동,1,0.78,1.282051282
73,대전광역시 대덕구 법2동,법2동,1,1.87,0.534759358
74,대전광역시 대덕구 신탄진동,신탄진동,,22.96,0
75,대전광역시 대덕구 석봉동,석봉동,,1.22,0
76,대전광역시 대덕구 덕암동,덕암동,1,6.22,0.160771704
77,대전광역시 대덕구 목상동,목상동,1,5.61,0.178253119
78,대전광역시 대덕구 송촌동,송촌동,,1.92,0